Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
A Billion Colour Story,2016,105,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Biopic from the Film Industry,2019,128,Drama,5.8,1938,Sarkar Sahith,Suman Rana,Hari Vishnu,unknown
A Call from the Past,2016,76,"Drama, Fantasy, Mystery",5.8,1938,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
A Cold Plan,2021,128,Thriller,5.8,1938,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
A Daughter's Dream,2014,128,"Drama, Family, Sport",5.8,1938,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
A Daughter's Tale PANKH,2017,145,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Death in the Gunj,2016,110,"Drama, Thriller",7.5,"4,637",Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
A Dream Document,2016,70,Documentary,5.8,1938,Rupak Das,unknown,unknown,unknown
A Far Afternoon: a Painted Saga by Krishen Khanna,2015,72,"Documentary, Biography",7.7,10,Sruti Harihara Subramanian,unknown,unknown,unknown
A Film by Aravind,2005,150,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flat,2010,103,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
A Flying Jatt,2016,151,"Action, Adventure, Comedy",3,"4,145",Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
A Game Called Relationship,2020,109,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gentleman,2017,145,"Action, Comedy",6.2,"5,227",Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
A Gift of Love: Sifar,2019,95,"Drama, Romance",8,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Handful of Grain,1959,92,Drama,5.8,"1,938",Mehboob Khan,unknown,unknown,unknown
A Journey of Samyak Buddha,2013,127,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A Mermaid Called Aida,1996,52,Documentary,6.4,7,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,unknown
A Mistake (Ek Galti),2021,128,Thriller,5.8,1938,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
A New Love Ishtory,2013,140,Romance,6,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Night in Calcutta,1970,128,Drama,5.8,1938,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
A Rape Song,2019,75,"Crime, Drama",5.8,1938,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,unknown
A Rifle and a Bag,2020,89,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,unknown
A Scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Separate Sky,2021,128,Drama,5.8,1938,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
A Sketch Killer: Who's Next,1997,128,Thriller,5.8,1938,Vinod Alva,Kalyan Kumar,Raghuvaran,unknown
A Small Family,1976,128,Documentary,5.8,1938,Fali Bilimoria,unknown,unknown,unknown
A Song for No One,1987,128,"Comedy, Drama, Music",5.8,1938,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,unknown
A Story of a Call Girl,2000,128,Thriller,5.8,1938,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
A Strange Love Story,2011,128,Drama,3.8,15,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,2005,143,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Suitable Girl,2017,90,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,unknown
A Thin Line,2019,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
A Thursday,2021,128,"Drama, Thriller",5.8,1938,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
A Treasure in the Snow,2002,128,Documentary,6.9,8,Goutam Ghose,unknown,unknown,unknown
A Twist of Date,2017,110,"Comedy, Horror, Mystery",5.8,1938,Kashmera Shah,Kashmera Shah,unknown,unknown
A Wednesday,2008,104,"Action, Crime, Drama",8.1,"75,118",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
A.R Rahman Encore Tour,2017,128,Musical,5.8,1938,Deepak Gattani,A.R. Rahman,unknown,unknown
Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",5.5,"1,621",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,2018,121,Drama,8,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Bhi Ja O Piya,2021,140,"Family, Romance",5.8,"1,938",Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,1973,148,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,1994,158,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,2017,123,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,2016,120,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,1999,128,Action,4.9,28,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
Aabra Ka Daabra,2004,144,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,1956,128,Romance,5.8,1938,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
Aabroo,1968,170,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aabroo,1943,128,Unknown,5.2,5,Nazir,unknown,unknown,unknown
Aabshar,1953,128,"Drama, Romance",5,5,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
Aadab Arz,1943,128,Unknown,5.2,5,V.C. Desai,Nalini Jaywant,Mukesh,unknown
Aadab Hyderabad,2007,104,Unknown,5.8,1938,Sanjay Punjabi,unknown,unknown,unknown
Aadamkhor,1986,128,Action,5.5,6,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
Aadamkhor,2018,72,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadamkhor Hasina,2002,128,Action,5.8,1938,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
Aadarniy Pitaji,2020,128,Family,5.8,1938,Prashant Kumar,unknown,unknown,unknown
Aadarsh,1983,128,Drama,5.8,1938,Unknown,unknown,unknown,unknown
Aadat,1989,128,Unknown,5.8,1938,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj
Aadat Se Majboor,1982,105,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,1977,132,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,2019,107,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadhaar,2004,128,Drama,5.8,1938,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat
Aadharshila,1982,154,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhe Adhure,1996,128,Drama,5.8,1938,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
Aadhi Bhagavan,2013,157,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
"Aadhi Haqeeqat, Aadha Fasana",1990,88,Documentary,5.8,1938,Dilip Ghosh,unknown,unknown,unknown
Aadhi Mimansa,1991,128,Unknown,6.2,9,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
Aadhi Raat,1957,128,Unknown,5.8,1938,Chandrakant,unknown,unknown,unknown
Aadhi Raat,1950,115,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
Aadhi Raat,1999,128,Horror,5.8,1938,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur
Aadhi Roti,1957,128,Drama,5.8,1938,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani
Aadhi Zindagi Aadhi Maut,1986,128,Thriller,5.8,1938,V. Menon,Aparajita,Abhi Bhattacharya,Sargam
Aadi Shakti,1992,128,Action,5.8,1938,Govind Singh,Raza Murad,Yunus Parvez,unknown
Aadmi,1968,175,"Drama, Romance",6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
Aadmi,1993,153,"Action, Crime, Drama",6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun
Aadmi Aur Apsara,1991,142,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
Aadmi Aur Aurat,2001,128,Thriller,5.8,1938,Alka Kubal,Raza Murad,Ramanna,unknown
Aadmi Aur Insaan,1969,168,"Drama, Romance, Thriller",6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
Aadmi Khilona Hai,1993,158,"Drama, Romance",5,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda
